ENSMUST00000070533.5	Xkr4-201	ENSMUSG00000051951
ENSMUST00000088542.4	Xkr9-201	ENSMUSG00000067813
ENSMUST00000027066.13	Eya1-201	ENSMUSG00000025932
ENSMUST00000168081.9	Eya1-203	ENSMUSG00000025932
ENSMUST00000080664.14	Eya1-202	ENSMUSG00000025932
ENSMUST00000190337.7	Eya1-209	ENSMUSG00000025932
ENSMUST00000189526.2	Eya1-208	ENSMUSG00000025932
ENSMUST00000188857.7	Eya1-207	ENSMUSG00000025932
ENSMUST00000185453.7	Eya1-205	ENSMUSG00000025932
ENSMUST00000187790.2	Eya1-206	ENSMUSG00000025932
ENSMUST00000027062.7	Msc-201	ENSMUSG00000025930
ENSMUST00000190719.2	Msc-204	ENSMUSG00000025930
ENSMUST00000041447.5	Trpa1-201	ENSMUSG00000032769
ENSMUST00000235071.2	Trpa1-202	ENSMUSG00000032769
ENSMUST00000175681.3	Kcnb2-202	ENSMUSG00000092083
ENSMUST00000170146.3	Kcnb2-201	ENSMUSG00000092083
ENSMUST00000188371.7	Terf1-203	ENSMUSG00000025925
ENSMUST00000027057.8	Terf1-201	ENSMUSG00000025925
ENSMUST00000040695.5	Sbspon-201	ENSMUSG00000032719
ENSMUST00000115367.8	4930444P10Rik-201	ENSMUSG00000067795
ENSMUST00000145070.8	4930444P10Rik-202	ENSMUSG00000067795
ENSMUST00000151004.2	4930444P10Rik-203	ENSMUSG00000067795
ENSMUST00000058437.14	Rpl7-201	ENSMUSG00000043716
ENSMUST00000149566.2	Rpl7-205	ENSMUSG00000043716
ENSMUST00000027053.8	Rdh10-201	ENSMUSG00000025921
ENSMUST00000162751.8	Stau2-217	ENSMUSG00000025920
ENSMUST00000054668.13	Stau2-202	ENSMUSG00000025920
ENSMUST00000162627.8	Stau2-216	ENSMUSG00000025920
ENSMUST00000027052.13	Stau2-201	ENSMUSG00000025920
ENSMUST00000162435.8	Stau2-215	ENSMUSG00000025920
ENSMUST00000159558.8	Stau2-213	ENSMUSG00000025920
ENSMUST00000128957.9	Stau2-206	ENSMUSG00000025920
ENSMUST00000131257.9	Stau2-207	ENSMUSG00000025920
ENSMUST00000162007.8	Stau2-214	ENSMUSG00000025920
ENSMUST00000127420.8	Stau2-205	ENSMUSG00000025920
ENSMUST00000149320.9	Stau2-210	ENSMUSG00000025920
ENSMUST00000151888.8	Stau2-211	ENSMUSG00000025920
ENSMUST00000153966.9	Stau2-212	ENSMUSG00000025920
ENSMUST00000115359.10	Stau2-203	ENSMUSG00000025920
ENSMUST00000145092.8	Stau2-209	ENSMUSG00000025920
ENSMUST00000144138.4	Stau2-208	ENSMUSG00000025920
ENSMUST00000182554.9	Ube2w-206	ENSMUSG00000025939
ENSMUST00000117146.9	Ube2w-201	ENSMUSG00000025939
ENSMUST00000133639.2	Ube2w-203	ENSMUSG00000025939
ENSMUST00000188641.7	Eloc-208	ENSMUSG00000079658
ENSMUST00000115352.10	Eloc-201	ENSMUSG00000079658
ENSMUST00000186948.7	Eloc-206	ENSMUSG00000079658
ENSMUST00000187910.7	Eloc-207	ENSMUSG00000079658
ENSMUST00000185771.7	Eloc-203	ENSMUSG00000079658
ENSMUST00000185393.7	Eloc-202	ENSMUSG00000079658
ENSMUST00000186701.2	Eloc-205	ENSMUSG00000079658
ENSMUST00000177501.2	Tmem70-203	ENSMUSG00000025940
ENSMUST00000065373.6	Tmem70-201	ENSMUSG00000025940
ENSMUST00000026881.11	Ly96-201	ENSMUSG00000025779
ENSMUST00000190366.2	Ly96-202	ENSMUSG00000025779
ENSMUST00000186024.2	Jph1-202	ENSMUSG00000042686
ENSMUST00000038382.5	Jph1-201	ENSMUSG00000042686
ENSMUST00000026879.8	Gdap1-201	ENSMUSG00000025777
ENSMUST00000189736.2	Gdap1-204	ENSMUSG00000025777
ENSMUST00000088476.4	Pi15-201	ENSMUSG00000067780
ENSMUST00000159958.8	Crispld1-202	ENSMUSG00000025776
ENSMUST00000160305.8	Crispld1-203	ENSMUSG00000025776
ENSMUST00000095075.5	Crispld1-201	ENSMUSG00000025776
ENSMUST00000026876.13	Crisp4-201	ENSMUSG00000025774
ENSMUST00000115340.8	Crisp4-202	ENSMUSG00000025774
ENSMUST00000115344.2	Crisp4-203	ENSMUSG00000025774
ENSMUST00000097818.2	Defb18-201	ENSMUSG00000073735
ENSMUST00000088463.2	Defb41-201	ENSMUSG00000067773
ENSMUST00000097817.4	Defb41-202	ENSMUSG00000067773
ENSMUST00000037294.8	Tfap2d-201	ENSMUSG00000042596
ENSMUST00000027059.11	Tfap2b-201	ENSMUSG00000025927
ENSMUST00000187754.7	Tfap2b-204	ENSMUSG00000025927
ENSMUST00000064976.6	Tfap2b-202	ENSMUSG00000025927
ENSMUST00000088448.12	Pkhd1-201	ENSMUSG00000043760
ENSMUST00000027061.5	Il17a-201	ENSMUSG00000025929
ENSMUST00000039046.10	Il17f-201	ENSMUSG00000041872
ENSMUST00000189301.2	Il17f-202	ENSMUSG00000041872
ENSMUST00000053266.11	Mcm3-201	ENSMUSG00000041859
ENSMUST00000189400.7	Paqr8-204	ENSMUSG00000025931
ENSMUST00000068880.14	Paqr8-201	ENSMUSG00000025931
ENSMUST00000167119.8	Paqr8-202	ENSMUSG00000025931
ENSMUST00000187651.2	Paqr8-203	ENSMUSG00000025931
ENSMUST00000038447.6	Efhc1-201	ENSMUSG00000041809
ENSMUST00000037998.6	Tram2-201	ENSMUSG00000041779
ENSMUST00000027065.12	Tmem14a-202	ENSMUSG00000025933
ENSMUST00000027064.8	Tmem14a-201	ENSMUSG00000025933
ENSMUST00000027067.15	Gsta3-201	ENSMUSG00000025934
ENSMUST00000121676.8	Gsta3-202	ENSMUSG00000025934
ENSMUST00000124990.3	Gsta3-203	ENSMUSG00000025934
ENSMUST00000088407.4	Khdc1a-201	ENSMUSG00000067750
ENSMUST00000070223.6	Khdc1c-201	ENSMUSG00000041722
ENSMUST00000147615.2	Khdc1b-201	ENSMUSG00000085079
ENSMUST00000029667.13	Kcnq5-201	ENSMUSG00000028033
ENSMUST00000115300.8	Kcnq5-203	ENSMUSG00000028033
ENSMUST00000173058.8	Kcnq5-205	ENSMUSG00000028033
ENSMUST00000174183.8	Kcnq5-207	ENSMUSG00000028033
ENSMUST00000173404.2	Kcnq5-206	ENSMUSG00000028033
ENSMUST00000081544.14	Rims1-201	ENSMUSG00000041670
ENSMUST00000097809.11	Rims1-203	ENSMUSG00000041670
ENSMUST00000115273.10	Rims1-204	ENSMUSG00000041670
ENSMUST00000164877.8	Rims1-205	ENSMUSG00000041670
ENSMUST00000097808.9	Rims1-202	ENSMUSG00000041670
ENSMUST00000239255.2	Rims1-206	ENSMUSG00000041670
ENSMUST00000073179.6	Ppp1r14bl-201	ENSMUSG00000073730
ENSMUST00000027343.6	Ogfrl1-201	ENSMUSG00000026158
ENSMUST00000188677.2	Ogfrl1-203	ENSMUSG00000026158
ENSMUST00000144602.2	B3gat2-203	ENSMUSG00000026156
ENSMUST00000063663.6	B3gat2-201	ENSMUSG00000026156
ENSMUST00000140583.2	B3gat2-202	ENSMUSG00000026156
ENSMUST00000027339.14	Smap1-201	ENSMUSG00000026155
ENSMUST00000129254.8	Smap1-202	ENSMUSG00000026155
ENSMUST00000027338.4	Sdhaf4-201	ENSMUSG00000026154
ENSMUST00000187619.7	Fam135a-207	ENSMUSG00000026153
ENSMUST00000188712.7	Fam135a-209	ENSMUSG00000026153
ENSMUST00000187752.7	Fam135a-208	ENSMUSG00000026153
ENSMUST00000187369.7	Fam135a-206	ENSMUSG00000026153
ENSMUST00000186331.2	Fam135a-204	ENSMUSG00000026153
ENSMUST00000027337.15	Fam135a-201	ENSMUSG00000026153
ENSMUST00000185807.2	Fam135a-203	ENSMUSG00000026153
ENSMUST00000186999.7	Fam135a-205	ENSMUSG00000026153
ENSMUST00000054588.15	Col9a1-201	ENSMUSG00000026147
ENSMUST00000088349.3	Col9a1-202	ENSMUSG00000026147
ENSMUST00000115244.9	Col19a1-202	ENSMUSG00000026141
ENSMUST00000051344.6	Col19a1-201	ENSMUSG00000026141
ENSMUST00000191471.7	Lmbrd1-206	ENSMUSG00000073725
ENSMUST00000186096.7	Lmbrd1-202	ENSMUSG00000073725
ENSMUST00000186190.2	Lmbrd1-203	ENSMUSG00000073725
ENSMUST00000095062.10	Lmbrd1-201	ENSMUSG00000073725
ENSMUST00000190195.2	Lmbrd1-205	ENSMUSG00000073725
ENSMUST00000126626.8	Adgrb3-203	ENSMUSG00000033569
ENSMUST00000146592.8	Adgrb3-206	ENSMUSG00000033569
ENSMUST00000135518.8	Adgrb3-205	ENSMUSG00000033569
ENSMUST00000151309.8	Adgrb3-207	ENSMUSG00000033569
ENSMUST00000041838.7	Adgrb3-201	ENSMUSG00000033569
ENSMUST00000097801.4	4931408C20Rik-201	ENSMUSG00000073722
ENSMUST00000059937.5	Gm597-201	ENSMUSG00000048411
ENSMUST00000186733.7	Phf3-205	ENSMUSG00000048874
ENSMUST00000088310.10	Phf3-201	ENSMUSG00000048874
ENSMUST00000191329.2	Phf3-214	ENSMUSG00000048874
ENSMUST00000191064.7	Phf3-212	ENSMUSG00000048874
ENSMUST00000188780.2	Phf3-209	ENSMUSG00000048874
ENSMUST00000187968.2	Phf3-208	ENSMUSG00000048874
ENSMUST00000232841.2	Ptp4a1-203	ENSMUSG00000026064
ENSMUST00000233506.2	Ptp4a1-206	ENSMUSG00000117310
ENSMUST00000027232.15	Ptp4a1-204	ENSMUSG00000117310
ENSMUST00000076587.6	Ptp4a1-205	ENSMUSG00000117310
ENSMUST00000238874.2	Ptp4a1-207	ENSMUSG00000117310
ENSMUST00000178317.4	Gm5698-201	ENSMUSG00000117091
ENSMUST00000233331.3	4931428L18Rik-207	ENSMUSG00000086727
ENSMUST00000152491.4	4931428L18Rik-203	ENSMUSG00000086727
ENSMUST00000187892.8	4931428L18Rik-205	ENSMUSG00000086727
ENSMUST00000062560.14	Lgsn-201	ENSMUSG00000050217
ENSMUST00000161773.3	Lgsn-202	ENSMUSG00000050217
ENSMUST00000027230.3	Dnaaf6-201	ENSMUSG00000026063
ENSMUST00000178167.4	Gm6489-201	ENSMUSG00000094215
ENSMUST00000027226.12	Khdrbs2-201	ENSMUSG00000026058
ENSMUST00000189878.2	Khdrbs2-205	ENSMUSG00000026058
ENSMUST00000188257.7	Khdrbs2-204	ENSMUSG00000026058
ENSMUST00000185666.2	Khdrbs2-202	ENSMUSG00000026058
ENSMUST00000171322.3	Semp2l1-201	ENSMUSG00000091318
ENSMUST00000027312.11	Prim2-201	ENSMUSG00000026134
ENSMUST00000088287.10	Rab23-201	ENSMUSG00000004768
ENSMUST00000138024.8	Rab23-206	ENSMUSG00000004768
ENSMUST00000115174.4	Rab23-202	ENSMUSG00000004768
ENSMUST00000044691.9	Bag2-201	ENSMUSG00000042215
ENSMUST00000187602.2	Bag2-203	ENSMUSG00000042215
ENSMUST00000139143.8	Zfp451-206	ENSMUSG00000042197
ENSMUST00000019861.13	Zfp451-201	ENSMUSG00000042197
ENSMUST00000115167.8	Zfp451-203	ENSMUSG00000042197
ENSMUST00000151055.8	Zfp451-208	ENSMUSG00000042197
ENSMUST00000194656.6	Zfp451-209	ENSMUSG00000042197
ENSMUST00000044455.8	Zfp451-202	ENSMUSG00000042197
ENSMUST00000115161.8	Bend6-202	ENSMUSG00000042182
ENSMUST00000129464.8	Bend6-204	ENSMUSG00000042182
ENSMUST00000062289.11	Bend6-201	ENSMUSG00000042182
ENSMUST00000183034.5	Dst-211	ENSMUSG00000026131
ENSMUST00000187486.7	Dst-218	ENSMUSG00000026131
ENSMUST00000182697.8	Dst-209	ENSMUSG00000026131
ENSMUST00000182314.8	Dst-205	ENSMUSG00000026131
ENSMUST00000097786.10	Dst-202	ENSMUSG00000026131
ENSMUST00000115104.10	Dst-203	ENSMUSG00000026131
ENSMUST00000097785.10	Dst-201	ENSMUSG00000026131
ENSMUST00000239001.2	Dst-221	ENSMUSG00000026131
ENSMUST00000183006.5	Dst-210	ENSMUSG00000026131
ENSMUST00000183302.6	Dst-213	ENSMUSG00000026131
ENSMUST00000185897.7	Dst-217	ENSMUSG00000026131
ENSMUST00000185269.7	Dst-215	ENSMUSG00000026131
ENSMUST00000194192.3	Dst-220	ENSMUSG00000026131
ENSMUST00000182018.8	Dst-204	ENSMUSG00000026131
ENSMUST00000183100.8	Dst-212	ENSMUSG00000026131
ENSMUST00000182507.4	Dst-208	ENSMUSG00000026131
ENSMUST00000042493.10	Ccdc115-201	ENSMUSG00000042111
ENSMUST00000027303.14	Imp4-201	ENSMUSG00000026127
ENSMUST00000137794.8	Imp4-205	ENSMUSG00000026127
ENSMUST00000149962.8	Imp4-206	ENSMUSG00000026127
ENSMUST00000136770.3	Imp4-204	ENSMUSG00000026127
ENSMUST00000027302.14	Ptpn18-201	ENSMUSG00000026126
ENSMUST00000190122.2	Ptpn18-207	ENSMUSG00000026126
ENSMUST00000188972.3	Ptpn18-206	ENSMUSG00000026126
ENSMUST00000027299.10	Prss39-201	ENSMUSG00000026125
ENSMUST00000191604.2	Prss39-202	ENSMUSG00000026125
ENSMUST00000027298.5	Cfc1-201	ENSMUSG00000026124
ENSMUST00000115071.4	Prss40-202	ENSMUSG00000037529
ENSMUST00000190790.7	Prss40-203	ENSMUSG00000037529
ENSMUST00000047840.9	Prss40-201	ENSMUSG00000037529
ENSMUST00000052670.11	Amer3-201	ENSMUSG00000045174
ENSMUST00000159747.9	Arhgef4-204	ENSMUSG00000037509
ENSMUST00000162599.8	Arhgef4-206	ENSMUSG00000037509
ENSMUST00000159021.9	Arhgef4-202	ENSMUSG00000037509
ENSMUST00000047664.16	Arhgef4-201	ENSMUSG00000037509
ENSMUST00000160855.2	Arhgef4-205	ENSMUSG00000037509
ENSMUST00000211073.2	Gm55978-201	ENSMUSG00000118272
ENSMUST00000167518.8	Fam168b-203	ENSMUSG00000037503
ENSMUST00000047534.12	Fam168b-201	ENSMUSG00000037503
ENSMUST00000170092.8	Fam168b-204	ENSMUSG00000037503
ENSMUST00000185469.7	Fam168b-207	ENSMUSG00000037503
ENSMUST00000191307.7	Fam168b-208	ENSMUSG00000037503
ENSMUST00000185231.2	Fam168b-205	ENSMUSG00000037503
ENSMUST00000156687.8	Plekhb2-203	ENSMUSG00000026123
ENSMUST00000027297.11	Plekhb2-201	ENSMUSG00000026123
ENSMUST00000152654.3	Plekhb2-202	ENSMUSG00000026123
ENSMUST00000088174.4	Hs6st1-201	ENSMUSG00000045216
ENSMUST00000046875.14	Uggt1-201	ENSMUSG00000037470
ENSMUST00000174266.8	Uggt1-209	ENSMUSG00000037470
ENSMUST00000174224.8	Uggt1-208	ENSMUSG00000037470
ENSMUST00000173166.2	Uggt1-204	ENSMUSG00000037470
ENSMUST00000174142.2	Uggt1-207	ENSMUSG00000037470
ENSMUST00000056946.8	Neurl3-201	ENSMUSG00000047180
ENSMUST00000188666.3	Neurl3-202	ENSMUSG00000047180
ENSMUST00000126413.8	Arid5a-207	ENSMUSG00000037447
ENSMUST00000142319.8	Arid5a-211	ENSMUSG00000037447
ENSMUST00000097778.9	Arid5a-201	ENSMUSG00000037447
ENSMUST00000116629.9	Arid5a-205	ENSMUSG00000037447
ENSMUST00000115031.8	Arid5a-203	ENSMUSG00000037447
ENSMUST00000115032.8	Arid5a-204	ENSMUSG00000037447
ENSMUST00000137906.2	Arid5a-208	ENSMUSG00000037447
ENSMUST00000115029.2	Arid5a-202	ENSMUSG00000037447
ENSMUST00000185912.7	Kansl3-204	ENSMUSG00000010453
ENSMUST00000010597.10	Kansl3-201	ENSMUSG00000010453
ENSMUST00000186470.2	Kansl3-205	ENSMUSG00000010453
ENSMUST00000188961.7	Kansl3-209	ENSMUSG00000010453
ENSMUST00000188528.7	Kansl3-207	ENSMUSG00000010453
ENSMUST00000185621.3	Kansl3-203	ENSMUSG00000010453
ENSMUST00000187628.2	Kansl3-206	ENSMUSG00000010453
ENSMUST00000188957.2	Kansl3-208	ENSMUSG00000010453
ENSMUST00000179162.7	Fer1l5-202	ENSMUSG00000037432
ENSMUST00000202030.2	Fer1l5-203	ENSMUSG00000037432
ENSMUST00000140452.4	Fer1l5-201	ENSMUSG00000037432
ENSMUST00000192969.6	Lman2l-207	ENSMUSG00000001143
ENSMUST00000125304.8	Lman2l-204	ENSMUSG00000001143
ENSMUST00000115011.8	Lman2l-202	ENSMUSG00000001143
ENSMUST00000001171.13	Lman2l-201	ENSMUSG00000001143
ENSMUST00000152088.2	Lman2l-206	ENSMUSG00000001143
ENSMUST00000123583.2	Lman2l-203	ENSMUSG00000001143
ENSMUST00000153128.2	Cnnm4-201	ENSMUSG00000037408
ENSMUST00000001166.14	Cnnm3-201	ENSMUSG00000001138
ENSMUST00000097776.4	Cnnm3-202	ENSMUSG00000001138
ENSMUST00000193083.6	Ankrd23-202	ENSMUSG00000067653
ENSMUST00000054665.10	Ankrd23-201	ENSMUSG00000067653
ENSMUST00000194853.3	Ankrd23-204	ENSMUSG00000067653
ENSMUST00000191849.6	Gm42417-201	ENSMUSG00000109510
ENSMUST00000207088.2	Gm42417-202	ENSMUSG00000109510
ENSMUST00000207843.2	Ankrd39-203	ENSMUSG00000079610
ENSMUST00000001172.12	Ankrd39-201	ENSMUSG00000079610
ENSMUST00000194894.4	Ankrd39-202	ENSMUSG00000079610
ENSMUST00000191677.6	Sema4c-203	ENSMUSG00000026121
ENSMUST00000191642.6	Sema4c-202	ENSMUSG00000026121
ENSMUST00000195620.6	Sema4c-208	ENSMUSG00000026121
ENSMUST00000114991.8	Sema4c-201	ENSMUSG00000026121
ENSMUST00000193382.6	Sema4c-205	ENSMUSG00000026121
ENSMUST00000195339.3	Sema4c-207	ENSMUSG00000026121
ENSMUST00000170295.8	Fam178b-202	ENSMUSG00000046337
